"","Q96NG5","Q6ZN19","Q9UI25","Q86XN6","A8MUZ8","Q08ER8","Q9GZX5","Q9GZP7","Q3MJ13","Q9NY84","B1APH4","Q9HBT8","Q76KX8","Q96E35","P38606","Q9BZH6"
"Q96NG5",1,0.266246773395619,0.0357866518860087,0.310622703824065,0.333417746154935,0.355275799121585,0.340674552333514,0.0140476693167347,0.0129845334222059,0.0196624186502131,0.224990248715492,0.396512965063226,0.325835065253038,0.0211315480396558,0.0128239859084778,0.0123910301582258
"Q6ZN19",0.266246773395619,1,0.0241544641031349,0.465679423410823,0.164657474417121,0.324181196777262,0.218463891767239,0.00962574214606884,0.0097377848975537,0.0154520232891849,0.134912682810313,0.275156419668838,0.435188400523675,0.0162121560562063,0.0127585885052925,0.00892097814529162
"Q9UI25",0.0357866518860087,0.0241544641031349,1,0.0221574694613034,0.0403231634214188,0.0311637101018263,0.0304015194113263,0.0464646689739715,0.0199201743437549,0.0324562342986438,0.0352415213514965,0.0305512288188977,0.0319632121773497,0.0338413483154006,0.0278678728941329,0.0319090612108487
"Q86XN6",0.310622703824065,0.465679423410823,0.0221574694613034,1,0.198123186559014,0.352763614274602,0.24285934076296,0.0128521808077114,0.0107192444709357,0.014241372608752,0.164211423186928,0.316577042909709,0.484999742777269,0.0205530385873217,0.0113372343085643,0.0104222894785089
"A8MUZ8",0.333417746154935,0.164657474417121,0.0403231634214188,0.198123186559014,1,0.240598184423567,0.250312184976213,0.0189385760187698,0.0136551555725885,0.019991447736379,0.224214986093381,0.262946947953374,0.216671321546272,0.0196831801217265,0.0221773402464283,0.0148925705035539
"Q08ER8",0.355275799121585,0.324181196777262,0.0311637101018263,0.352763614274602,0.240598184423567,1,0.298696991741891,0.0122980171860427,0.0121066811931251,0.0160846931324456,0.209157552807823,0.376844772440017,0.390982988430874,0.0158048030519477,0.0140388441453107,0.0120982703516535
"Q9GZX5",0.340674552333514,0.218463891767239,0.0304015194113263,0.24285934076296,0.250312184976213,0.298696991741891,1,0.0123315859742766,0.0106629485187648,0.0238242548191777,0.212493499431351,0.322284590222269,0.269817089825516,0.0235851118314314,0.0130784377764636,0.0104094823189192
"Q9GZP7",0.0140476693167347,0.00962574214606884,0.0464646689739715,0.0128521808077114,0.0189385760187698,0.0122980171860427,0.0123315859742766,1,0.0151881594742938,0.018979330479541,0.0157525010594239,0.0121749027260799,0.0145951541724735,0.0190468435927327,0.0170276204196442,0.0140591138622589
"Q3MJ13",0.0129845334222059,0.0097377848975537,0.0199201743437549,0.0107192444709357,0.0136551555725885,0.0121066811931251,0.0106629485187648,0.0151881594742938,1,0.01518952963744,0.0110552046762213,0.012193451297071,0.0102013006551802,0.0167437029944788,0.0120871298470543,0.0153547164481635
"Q9NY84",0.0196624186502131,0.0154520232891849,0.0324562342986438,0.014241372608752,0.019991447736379,0.0160846931324456,0.0238242548191777,0.018979330479541,0.01518952963744,1,0.0163800632611707,0.0153910125702074,0.0142705901972598,0.0284141662736722,0.0172896539785971,0.0140066357781782
"B1APH4",0.224990248715492,0.134912682810313,0.0352415213514965,0.164211423186928,0.224214986093381,0.209157552807823,0.212493499431351,0.0157525010594239,0.0110552046762213,0.0163800632611707,1,0.217162455511564,0.172876056662998,0.0190073908000786,0.0149326713500101,0.0114396376915661
"Q9HBT8",0.396512965063226,0.275156419668838,0.0305512288188977,0.316577042909709,0.262946947953374,0.376844772440017,0.322284590222269,0.0121749027260799,0.012193451297071,0.0153910125702074,0.217162455511564,1,0.341237884595451,0.0183751298811916,0.0124773809872745,0.0142219087917254
"Q76KX8",0.325835065253038,0.435188400523675,0.0319632121773497,0.484999742777269,0.216671321546272,0.390982988430874,0.269817089825516,0.0145951541724735,0.0102013006551802,0.0142705901972598,0.172876056662998,0.341237884595451,1,0.0148594176498882,0.0110234174391436,0.0119894391884888
"Q96E35",0.0211315480396558,0.0162121560562063,0.0338413483154006,0.0205530385873217,0.0196831801217265,0.0158048030519477,0.0235851118314314,0.0190468435927327,0.0167437029944788,0.0284141662736722,0.0190073908000786,0.0183751298811916,0.0148594176498882,1,0.0155801419853343,0.0136703864816594
"P38606",0.0128239859084778,0.0127585885052925,0.0278678728941329,0.0113372343085643,0.0221773402464283,0.0140388441453107,0.0130784377764636,0.0170276204196442,0.0120871298470543,0.0172896539785971,0.0149326713500101,0.0124773809872745,0.0110234174391436,0.0155801419853343,1,0.0124219259606644
"Q9BZH6",0.0123910301582258,0.00892097814529162,0.0319090612108487,0.0104222894785089,0.0148925705035539,0.0120982703516535,0.0104094823189192,0.0140591138622589,0.0153547164481635,0.0140066357781782,0.0114396376915661,0.0142219087917254,0.0119894391884888,0.0136703864816594,0.0124219259606644,1
